video,label,n_frames,elbow_angle_mean,elbow_angle_std,body_alignment_angle_mean,hip_angle_mean
1,incorrect,290,0.6067258221233756,0.3255717169395472,0.5030933963605375,0.5612811069841501
10,incorrect,126,0.8085146457058074,0.30427064697047834,0.5403422271049281,0.583425859657989
11,incorrect,83,0.8436679918161385,0.1721806459425348,0.4339664930581653,0.5861365966666948
12,incorrect,121,0.8631011525476537,0.2289952640786836,0.43533265145395605,0.5074466084198387
13,incorrect,121,0.7672481502116474,0.29184727875705574,0.48852347163163434,0.6443158092290522
14,incorrect,125,0.6658693305345423,0.31873385785049657,0.6399238622729377,0.526545815336983
15,incorrect,100,0.6466930424998958,0.3285031440048607,0.6004219131843951,0.5430507486358183
16,incorrect,100,0.7002379901241734,0.3393763254011268,0.5438534983592571,0.5070661925312072
17,incorrect,107,0.7097981516951347,0.33497176825749586,0.4435003513154352,0.6337303345907928
18,incorrect,153,0.5749011928406663,0.3818246509500284,0.6067689227363875,0.5067261103771937
19,incorrect,126,0.6730808037294972,0.32489425708728004,0.6344478769980504,0.5281816224466954
2,incorrect,158,0.8046171560828492,0.26311486136134193,0.4571586414973379,0.51077387198082
20,incorrect,93,0.639724418375043,0.32213139930011886,0.5582554637860945,0.4788052521514632
21,incorrect,105,0.7124160244698651,0.3357213750192414,0.5071790825751371,0.4968916602093921
22,incorrect,250,0.7511109807396724,0.3204642681763364,0.4521132057573718,0.6461800645044246
23,incorrect,128,0.4840592903463767,0.38606614100813524,0.6373068896667223,0.46954688896688646
3,incorrect,104,0.771411629708915,0.2800451652544238,0.5266513652307905,0.4918656595798882
4,incorrect,72,0.717297494062204,0.24780741200586143,0.46987973910484027,0.6616501917008017
5,incorrect,119,0.6126075079862586,0.3448285784779657,0.3702971279716589,0.5689210818660833
6,incorrect,119,0.6110889483873441,0.3275822482062797,0.46113586363372877,0.5549282973253387
7,incorrect,110,0.6905131463845786,0.28516583381913513,0.4672997293212987,0.543869677673309
8,incorrect,87,0.6093058592517531,0.37986475065465103,0.4956338936426983,0.611103868668665
9,incorrect,66,0.9107998154893774,0.18211142323926038,0.6039926261401989,0.4947022804992196
Copy of push up 1,correct,61,0.653857995327562,0.35175928554556096,0.57918538550913,0.5842023278580866
Copy of push up 100,correct,124,0.7917436314499725,0.2906902986025374,0.7005919169496239,0.7317719162090975
Copy of push up 101,correct,77,0.6558301896749559,0.3334207654210365,0.6471461835349722,0.5322576621592969
Copy of push up 102,correct,83,0.6564465179994109,0.3380775365384013,0.524512327583518,0.6207284146894398
Copy of push up 104,incorrect,232,0.583594503629511,0.34704689488304186,0.6424468116138997,0.706306314650937
Copy of push up 105,incorrect,230,0.6553579433715617,0.33225749861319664,0.6349940523241154,0.6637904284307908
Copy of push up 107,incorrect,81,0.6293634300660094,0.42032262810132875,0.3937913336419018,0.5408221705381261
Copy of push up 108,incorrect,230,0.6620215339439974,0.3219946927424847,0.654316265064757,0.6726692207604118
Copy of push up 110,incorrect,212,0.6307751209267177,0.3380832763964784,0.6655213687585307,0.6913535599342706
Copy of push up 113,correct,77,0.6612235782123694,0.32480436368430127,0.6946619999023468,0.6465795389391793
Copy of push up 114,correct,88,0.6732119825358744,0.3301795142021208,0.6116865222564156,0.6701318885989918
Copy of push up 115,correct,137,0.7877720228020035,0.28291780166505887,0.3975806436063012,0.4104619655161568
Copy of push up 116,correct,75,0.7711683405606481,0.3189081985828588,0.5351006401137043,0.5211751453305654
Copy of push up 127,correct,91,0.5894506679484475,0.4054248432773993,0.5512271218536731,0.6232408154646197
Copy of push up 129,correct,84,0.5239472736633712,0.4200543765155577,0.6647087683129753,0.45163964425194664
Copy of push up 131,correct,77,0.6231145507387836,0.37679527162354876,0.575513438259393,0.38177037859821433
Copy of push up 132,correct,79,0.6365336081258768,0.363788274988781,0.6677836206229067,0.41636170261509453
Copy of push up 133,correct,76,0.6176928468663798,0.36991101925426845,0.6166684517839375,0.47080080732578994
Copy of push up 134,correct,75,0.6014270512202492,0.3449133126380734,0.7247153850793213,0.6220320654126763
Copy of push up 135,correct,72,0.6293548969072508,0.3690641590729093,0.4966175073058587,0.3238518963264083
Copy of push up 136,correct,75,0.6669177645320976,0.3884752575200125,0.7373680520545356,0.6571859832883066
Copy of push up 137,correct,71,0.6223958030166273,0.3822668890163548,0.6838631238856234,0.6960791347458095
Copy of push up 138,correct,74,0.6552631688714108,0.39254411669176575,0.6243083241816835,0.3831890344648564
Copy of push up 140,correct,87,0.6098835207938551,0.38263080387544807,0.6374200316706837,0.7155543364311157
Copy of push up 141,correct,91,0.6366303388292233,0.3719301016659571,0.683668322479481,0.5489874259120078
Copy of push up 142,correct,92,0.6464675566276277,0.4006669558890131,0.596770587112399,0.5933174119608278
Copy of push up 144,correct,90,0.6225234144890047,0.38232757626992686,0.38306186177976337,0.5535064278539713
Copy of push up 146,correct,107,0.5974969168350598,0.4009383714975702,0.45049361081032546,0.4136184569734253
Copy of push up 147,correct,123,0.6358693501590694,0.37995757506816075,0.4020404497166865,0.35774504839205007
Copy of push up 148,correct,133,0.6300123923324592,0.38940092968555456,0.44225666108697803,0.40614669701686956
Copy of push up 149,incorrect,324,0.6198159798472377,0.34666100532386357,0.7886580559903442,0.7240461572614401
Copy of push up 150,incorrect,63,0.5797027576582469,0.3429548297779656,0.49257836988897413,0.38378481758404726
Copy of push up 151,incorrect,62,0.5355863684596005,0.34843662965497213,0.4763043091259029,0.4861034058331406
Copy of push up 152,incorrect,66,0.575313451513134,0.36411136161179386,0.5135181646759206,0.5076135452364482
Copy of push up 153,incorrect,64,0.6040377886372154,0.3447741293190698,0.5636114477479681,0.4581251098475267
Copy of push up 155,incorrect,60,0.5702497603858361,0.34683648456420024,0.5049190546242136,0.37771838899003046
Copy of push up 156,incorrect,47,0.4818909215270288,0.33000108493321106,0.5331911004552342,0.41096546432234343
Copy of push up 162,correct,107,0.6471994016410721,0.3908946988066721,0.5378887695192778,0.453776125170042
Copy of push up 163,correct,98,0.5812211010911926,0.39180746953879475,0.6896640190707193,0.576469138112421
Copy of push up 164,correct,115,0.6890360665345956,0.37612701976883617,0.5954227678651517,0.5129774954783007
Copy of push up 165,correct,100,0.6273463400369181,0.3878835435324883,0.5586424629352943,0.504317428975087
Copy of push up 166,incorrect,172,0.8629036385962799,0.21709651144989978,0.3276209129080291,0.2778549873613665
Copy of push up 167,incorrect,85,0.7818166633677576,0.30062598370325844,0.32664074615522626,0.31188938570265057
Copy of push up 168,incorrect,90,0.7952694422619199,0.2659752342176008,0.3085487165078979,0.3374664281237901
Copy of push up 171,incorrect,397,0.8394288604100153,0.22982994725643308,0.4165594601807814,0.5289830617222353
Copy of push up 173,correct,153,0.6399346971216572,0.3672057606675448,0.7035582510209011,0.4224891585178079
Copy of push up 174,correct,131,0.5827449620491196,0.3765617265981344,0.6594815892721022,0.4236428434139867
Copy of push up 175,correct,110,0.7120637898318506,0.3155394556023666,0.7023705546746367,0.3517499107136404
Copy of push up 177,correct,146,0.59909912197067,0.38253542727918827,0.5306911097959647,0.4780446488185118
Copy of push up 178,correct,148,0.6238010126985312,0.39138848860008596,0.6082759301620184,0.4701026029972471
Copy of push up 186,correct,68,0.6686959766050838,0.36747116677107977,0.42140103408596624,0.499947164783771
Copy of push up 187,correct,70,0.6454823434799917,0.4006438459658992,0.3874838021325116,0.35136697212800944
